title,url,price,rating,reviews,packsize,protocal,sense_temp,sense_motion,sense_humidity,sense_uv,sense_light,sense_vibration,sense_plant,sense_door,total_sensors,adjprice,pps,sensors
"GE Enbrighten Z-Wave Plus Smart Motion Light Dimmer, Works with Alexa, Google Assistant, 3-Way Compatible, ZWave Hub Required, Repeater/Range Extender, White & Light Almond, 26933",/GE-Occupancy-Required-SmartThings-26933/dp/B071Y38FX5/ref=sr_1_39?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-39,56.525,4.2,125.0,1.0,zwave,False,True,False,False,False,False,False,False,1,56.525,56.525,['motion']
Zooz Z-Wave Plus S2 MultiSiren ZSE19 with Temperature and Humidity Sensors,/Z-Wave-MultiSiren-Temperature-Humidity-Sensors/dp/B07KP4SY1V/ref=sr_1_40?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-40,47.4525,4.3,79.0,1.0,zwave,True,False,True,False,False,False,False,False,2,47.4525,23.72625,"['temp,humidity']"
Zooz Z-Wave Plus S2 Outdoor Motion Sensor ZSE29,/Z-Wave-Outdoor-Motion-Sensor-ZSE29/dp/B07KP4T3MS/ref=sr_1_41?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-41,42.7025,4.1,164.0,1.0,zwave,False,True,False,False,False,False,False,False,1,42.7025,42.7025,['motion']
"Aqara Vibration Sensor, REQUIRES AQARA HUB, Zigbee Connection, Wireless Mini Glass Break Detector for Alarm System and Smart Home Automation, Compatible with Apple HomeKit",/Aqara-Vibration-Sensor-Automation-Compatible/dp/B07PJT939B/ref=sr_1_44?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-44,18.2305,4.0,147.0,1.0,zigbee,False,False,False,False,False,True,False,False,1,18.2305,18.2305,['vibration']
Nyce NCZ-3041-HA ZigBee Wireless Motion Sensor,/NYCE-NCZ-3041-HA-ZigBee-Motion-Sensor/dp/B00W4C8JAK/ref=sr_1_52?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-52,49.3715,2.7,11.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,49.3715,49.3715,['motion']
"Monoprice Z-Wave Plus Pir Motion Detector with Temperature Sensor, No Logo | Easy to Install, Passive Infrared Sensor White",/Monoprice-Detector-Temperature-Install-Infrared/dp/B01I5YETV8/ref=sr_1_56?dchild=1&keywords=motion+sensor+zigbee&qid=1612629142&sr=8-56,33.2405,3.9,53.0,1.0,zwave,True,True,False,False,False,False,False,False,2,33.2405,16.62025,"['temp,motion']"
ZOOZ Z-Wave Plus 4-in-1 Sensor ZSE40 VER. 2.0 (Motion/Light/Temperature/Humidity),/ZOOZ-Z-Wave-Sensor-Temperature-Humidity/dp/B01AKSO80O/ref=sr_1_3?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-3,37.9525,4.0,521.0,1.0,zwave,True,True,True,False,False,False,False,False,3,37.9525,12.650833333333333,"['temp,motion,humidity']"
"Ecolink Z-Wave PIR Motion Detector Pet Immune, White - PIRZWAVE2.5-ECO",/Z-wave-Detector-install-Immunity-PIRZWAVE2-5-ECO/dp/B01MQXXG0I/ref=sr_1_4?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-4,37.05,4.3,455.0,1.0,zwave,False,True,False,False,False,False,False,False,1,37.05,37.05,['motion']
"Zooz Z-Wave Plus S2 Motion Sensor ZSE18 with Magnetic Mount, Works with Vera and SmartThings",/Z-Wave-Motion-ZSE18-Magnetic-SmartThings/dp/B07FHL7J11/ref=sr_1_5?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-5,28.452499999999997,3.7,106.0,1.0,zwave,False,True,False,False,False,False,False,False,1,28.452499999999997,28.452499999999997,['motion']
"Aeotec Multisensor 6, Z-Wave Plus 6-in1 motion, temperature, humidity, light, UV, vibration sensor",/Aeotec-Multisensor-temperature-humidity-vibration/dp/B0151Z8ZQY/ref=sr_1_8?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-8,56.9905,4.0,547.0,1.0,zwave,True,True,True,True,False,True,False,False,5,56.9905,11.3981,"['temp,motion,humidity,uv,vibration']"
